geoid10,Homicide_sum
17031010701,0
17031020701,0
17031030104,0
17031030701,0
17031030706,0
17031031900,0
17031040100,0
17031050100,0
17031050300,0
17031050600,0
17031050700,0
17031050900,0
17031051200,0
17031051300,0
17031060200,0
17031060500,0
17031061000,0
17031061200,0
17031061500,0
17031062300,0
17031062400,0
17031062500,0
17031062800,0
17031062900,0
17031063100,0
17031063301,0
17031063302,0
17031063303,0
17031063400,0
17031070102,0
17031070103,0
17031070200,0
17031070600,0
17031071000,0
17031071100,0
17031071200,0
17031071500,0
17031071600,0
17031071700,0
17031071800,0
17031080100,0
17031081202,0
17031081300,0
17031081401,0
17031081402,0
17031090100,0
17031090300,0
17031100300,0
17031100400,0
17031100700,0
17031120200,0
17031130200,0
17031130300,0
17031140500,0
17031150401,0
17031151200,0
17031160100,0
17031161100,0
17031170200,0
17031170600,0
17031170700,0
17031170900,0
17031190701,0
17031220400,0
17031222200,0
17031230300,0
17031240200,0
17031240300,0
17031241300,0
17031242300,0
17031281900,0
17031320600,0
17031340300,0
17031411100,0
17031411200,0
17031600400,0
17031640500,0
17031720300,0
17031720500,0
17031720600,0
17031740200,0
17031740300,0
17031740400,0
17031750200,0
17031760802,0
17031770902,0
17031810400,0
17031821402,0
17031823304,0
17031831000,0
17031832600,0
17031836200,0
17031836300,0
17031842000,0
17031010501,1
17031010503,1
17031020301,1
17031030103,1
17031030300,1
17031030604,1
17031030900,1
17031031100,1
17031031800,1
17031040201,1
17031040300,1
17031040401,1
17031040402,1
17031040600,1
17031040800,1
17031040900,1
17031050500,1
17031050800,1
17031051000,1
17031051100,1
17031060800,1
17031060900,1
17031061100,1
17031061800,1
17031061901,1
17031061902,1
17031062000,1
17031062600,1
17031062700,1
17031063200,1
17031070300,1
17031070400,1
17031070500,1
17031071300,1
17031071400,1
17031080202,1
17031081100,1
17031081201,1
17031081403,1
17031081500,1
17031081600,1
17031090200,1
17031110100,1
17031110200,1
17031110300,1
17031120100,1
17031120300,1
17031140301,1
17031150402,1
17031150501,1
17031150700,1
17031160300,1
17031160400,1
17031160501,1
17031160900,1
17031170100,1
17031170300,1
17031170500,1
17031190900,1
17031200300,1
17031230800,1
17031240500,1
17031240700,1
17031242800,1
17031243100,1
17031283100,1
17031340400,1
17031340500,1
17031350100,1
17031351000,1
17031390600,1
17031410200,1
17031410600,1
17031410900,1
17031420100,1
17031490300,1
17031520600,1
17031560300,1
17031560700,1
17031560900,1
17031561100,1
17031600600,1
17031610800,1
17031640600,1
17031640700,1
17031720400,1
17031750300,1
17031750400,1
17031760803,1
17031830800,1
17031831700,1
17031831900,1
17031832100,1
17031832200,1
17031832900,1
17031835200,1
17031838200,1
17031839500,1
17031839800,1
17031840100,1
17031020801,2
17031020902,2
17031030702,2
17031031400,2
17031060400,2
17031062100,2
17031062200,2
17031070101,2
17031080201,2
17031080300,2
17031100100,2
17031100200,2
17031100500,2
17031100600,2
17031110501,2
17031120400,2
17031140400,2
17031150300,2
17031150502,2
17031151001,2
17031160200,2
17031170400,2
17031190402,2
17031190601,2
17031191000,2
17031210400,2
17031220300,2
17031220601,2
17031221600,2
17031222700,2
17031222800,2
17031230100,2
17031241200,2
17031242100,2
17031243000,2
17031243500,2
17031320100,2
17031380200,2
17031381500,2
17031390700,2
17031410700,2
17031420200,2
17031520500,2
17031560400,2
17031570100,2
17031570500,2
17031590600,2
17031590700,2
17031620200,2
17031640100,2
17031640300,2
17031640400,2
17031700302,2
17031720100,2
17031720700,2
17031740100,2
17031760801,2
17031831800,2
17031832300,2
17031833100,2
17031833300,2
17031839000,2
17031840000,2
17031841900,2
17031843500,2
17031843700,2
17031010502,3
17031020100,3
17031020200,3
17031020302,3
17031020400,3
17031020601,3
17031020702,3
17031020802,3
17031030400,3
17031030800,3
17031040700,3
17031050200,3
17031060100,3
17031060300,3
17031063000,3
17031110502,3
17031140601,3
17031150800,3
17031151100,3
17031161300,3
17031170800,3
17031171000,3
17031171100,3
17031180100,3
17031190401,3
17031191200,3
17031210100,3
17031210800,3
17031221500,3
17031222500,3
17031222600,3
17031222900,3
17031242200,3
17031242400,3
17031242700,3
17031243300,3
17031250500,3
17031330200,3
17031351500,3
17031360200,3
17031390200,3
17031410100,3
17031410800,3
17031411000,3
17031520100,3
17031520400,3
17031560800,3
17031570200,3
17031580300,3
17031580800,3
17031650100,3
17031650301,3
