CaseNo,PrimaryType,XCoordinate,YCoordinate,Year,Latitude,Longitude,DateCleaned,geoid10
HL669920,HOMICIDE,1166845,1945987,2005,42.007356038,-87.66148997,10/13/2005,17031010501
HX342288,HOMICIDE,1165886,1942621,2014,41.998140264,-87.665114952,7/12/2014,17031010503
HV391485,HOMICIDE,1155995,1944980,2012,42.004819495,-87.701436581,12/20/2012,17031020301
HK515480,HOMICIDE,1167727,1941549,2004,41.995159052,-87.658373656,7/26/2004,17031030103
HP240581,HOMICIDE,1164514,1941668,2008,41.995554476,-87.670189207,3/23/2008,17031030300
HY409243,HOMICIDE,1168593,1938326,2015,41.9862963,-87.655281972,9/3/2015,17031030604
HS260300,HOMICIDE,1164398,1935928,2010,41.979806207,-87.670779259,4/16/2010,17031030900
HV308059,HOMICIDE,1167380,1934496,2012,41.97581294,-87.659854095,5/29/2012,17031031100
HK520035,HOMICIDE,1164821,1930908,2005,41.966022154,-87.669366722,5/6/2005,17031031800
HW538736,HOMICIDE,1159378,1932284,2013,41.969911966,-87.689341576,11/18/2013,17031040201
HL553242,HOMICIDE,1156438,1935411,2005,41.978552752,-87.70006709,8/16/2005,17031040300
HY194555,HOMICIDE,1160556,1933458,2015,41.973109096,-87.684977358,3/22/2015,17031040401
HH287937,HOMICIDE,1162375,1931890,2002,41.968768467,-87.678332585,4/5/2002,17031040402
HL204876,HOMICIDE,1160099,1930803,2005,41.965833128,-87.686731531,2/27/2005,17031040600
HN454473,HOMICIDE,1158078,1930105,2007,41.963959389,-87.694181501,7/9/2007,17031040800
HZ160570,HOMICIDE,1160880,1929607,2016,41.962535036,-87.68389328,2/22/2016,17031040900
HH554235,HOMICIDE,1159696,1925250,2002,41.950603731,-87.688366953,8/4/2002,17031050500
G167194,HOMICIDE,1161414,1922897,2001,41.944111317,-87.682117431,3/24/2001,17031050800
HH639739,HOMICIDE,1160158,1921527,2002,41.940378045,-87.686771907,9/10/2002,17031051000
HH678223,HOMICIDE,1161777,1921718,2002,41.940868498,-87.680816194,9/28/2002,17031051100
HH136059,HOMICIDE,1170694,1926410,2002,41.953552585,-87.647905229,1/19/2002,17031060800
HV114596,HOMICIDE,1171045,1924647,2012,41.948707142,-87.646666855,1/11/2012,17031060900
HN537724,HOMICIDE,1168460,1925497,2007,41.951096013,-87.656144094,8/19/2007,17031061100
HK462161,HOMICIDE,1171335,1923542,2004,41.945668603,-87.645633466,6/29/2004,17031061800
HV184810,HOMICIDE,1171505,1923332,2012,41.945088611,-87.64501481,3/6/2012,17031061901
