('A417216', '170313801001002')
('B430081', '170312210001003')
('C153276', '170312512001021')
('C398333', '170312828001007')
('C585518', '170318423001082')
('D212672', '170314204001011')
('D250574', '170318356002015')
('D312716', '170312227001010')
('D362053', '170313815001001')
('D595973', '170318344001002')
('D621163', '170318367001017')
('D629444', '170312714001005')
('D656287', '170312909001005')
('E435397', '170318422001074')
('F218264', '170312519001002')
('F371650', '170314204001013')
('F500479', '170318433001022')
('F529820', '170318422001040')
('F660895', '170313515002005')
('F746059', '170313904002012')
('F803142', '170312213001001')
('G000705', '170312808001005')
('G005960', '170312307004016')
('G008548', '170312912002003')
('G008793', '170317105001004')
('G011117', '170314607001004')
('G011288', '170313107001003')
('G011894', '170315303002019')
('G013038', '170311906023020')
('G013102', '170316914002013')
('G019063', '170316806001001')
('G019133', '170311403023016')
('G021128', '170314305001002')
('G021349', '170314305001002')
('G022582', '170314313021004')
('G023235', '170314907002006')
('G023235', '170314907002006')
('G023298', '170312521011004')
('G023498', '170314409001000')
('G026985', '170310601002006')
('G028698', '170312516003012')
('G029375', '170317302022008')
('G030711', '170313005002002')
('G032399', '170316118001008')
('G032407', '170312517001021')
('G032650', '170318424002028')
('G038441', '170312518003017')
('G038670', '170311606011003')
('G040822', '170312510001013')
('G042611', '170312315001011')
('G042730', '170318342001009')
('G042741', '170313007002002')
('G042867', '170316302001037')
('G042885', '170312306006020')
('G046258', '170315401013003')
('G046555', '170314914002021')
('G052279', '170316702001017')
('G054526', '170316805002015')
('G057222', '170312603001007')
('G057558', '170317102004005')
('G060538', '170312105022010')
('G063251', '170310206022007')
('G064025', '170312105012024')
('G065240', '170310102021000')
('G068951', '170317108001005')
('G069278', '170318330002094')
('G072969', '170314908005018')
('G081524', '170312426001009')
('G082465', '170313812002023')
('G083440', '170315602003021')
('G083440', '170315602003021')
('G085180', '170312515001000')
('G085456', '170313018032012')
('G091366', '170312521021006')
('G092939', '170312311001009')
('G093340', '170313008002012')
('G095425', '170312315006012')
('G099205', '170318313001014')
('G103123', '170313018012010')
('G107568', '170312925004005')
('G108432', '170316714001022')
('G109242', '170312206012002')
('G109618', '170312106021010')
('G109745', '170316114001009')
('G110056', '170316111003003')
('G112364', '170318314001027')
('G118039', '170312610001021')
('G118582', '170316120002018')
('G119031', '170313106003011')
('G119505', '170318319001018')
('G122916', '170315302002000')
('G123109', '170312205002013')
('G124445', '170314908005018')
('G125188', '170311505022015')
('G126488', '170317101001017')
('G128509', '170313511002001')
('G132945', '170312925001001')
('G137271', '170312207022016')
('G137295', '170315807002006')
('G137655', '170310310002013')
('G137655', '170310310002013')
('G137999', '170312513001010')
('G139050', '170315807003002')
('G140106', '170312506002002')
('G142325', '170318429004025')
('G143991', '170318431001031')
('G152113', '170313817001000')
('G155779', '170318407001010')
('G159652', '170314301014007')
('G160443', '170318417001005')
('G161229', '170312610002011')
('G164500', '170312309001013')
('G166828', '170318343004016')
('G167023', '170318305001024')
('G167188', '170312925004005')
('G167194', '170310508001009')
('G168213', '170316505003044')
('G169110', '170312520003015')
('G169225', '170312409001031')
('G172079', '170312206023008')
('G172821', '170318418001028')
('G175399', '170312714001004')
('G179864', '170317104002009')
('G181260', '170312924002008')
('G183906', '170312603001030')
('G183906', '170312603001030')
('G184053', '170312416002002')
('G184097', '170312922002002')
('G184807', '170318387001007')
('G187460', '170318429003009')
('G188311', '170316404002021')
('G188820', '170316911002006')
('G189908', '170313017022005')
('G190057', '170316108001014')
('G191643', '170318430002024')
('G194141', '170311913011000')
('G194349', '170314910001006')
('G198167', '170312521011009')
('G200234', '170318366001012')
('G203846', '170317302014013')
('G205137', '170312603001030')
('G205243', '170313815001003')
('G207107', '170311908002008')
('G207388', '170312415001001')
('G207403', '170314602002011')
('G209405', '170318346001020')
('G209907', '170314910005034')
('G211567', '170315202002014')
('G211628', '170314314002007')
('G213437', '170312925004002')
('G213513', '170317110002020')
('G214782', '170310107021003')
('G215462', '170318392001002')
('G216033', '170312515003007')
('G217678', '170314008001008')
('G218379', '170310714002001')
('G219399', '170316303001014')
('G219399', '170316303001014')
('G221259', '170317110003014')
('G221462', '170312207012009')
('G221780', '170318392002008')
('G222906', '170312512003012')
('G223743', '170312315006002')
('G223784', '170312315006007')
('G223789', '170314005002005')
('G225749', '170312210002007')
('G225994', '170318404002010')
('G226436', '170313017022005')
('G226841', '170313817001000')
('G228272', '170312309003013')
('G228523', '170312004011002')
('G229353', '170312306005002')
('G230218', '170314203001010')
('G230431', '170318374002008')
('G232619', '170314607002005')
('G232871', '170318370001031')
('G234290', '170312516003008')
('G234790', '170318429004084')
('G235199', '170312106022009')
('G239201', '170318412002004')
('G240625', '170317302022008')
('G240776', '170312912002006')
('G243593', '170318374001017')
('G248175', '170318370001032')
('G248938', '170316811004001')
('G249811', '170316813003004')
('G250391', '170318345001012')
('G250439', '170314313023003')
('G253688', '170316117003004')
('G256486', '170314409001000')
('G259321', '290910906002028')
('G260168', '170318357001005')
('G260319', '170316912002003')
('G261105', '170318432002046')
('G261140', '170312522025010')
('G261213', '170315805023002')
('G261257', '170314908003022')
