CaseNumber,Latitude,Longitude
A417216,41.823529117,-87.612707977
B430081,41.923963114,-87.715360755
C153276,41.895773675,-87.764072031
C398333,41.869791259,-87.684898977
C585518,41.90342443,-87.661930465
D212672,41.783569249,-87.604374166
D250574,41.799766534,-87.6331345
D312716,41.915572944,-87.707564374
D362053,41.81113151,-87.620788483
D595973,41.779054509,-87.599142141
D621163,41.892563186,-87.707686182
D629444,41.879172555,-87.710952739
D656287,41.865622639,-87.727601201
E435397,41.900768924,-87.643107045
F218264,41.886368384,-87.758959007
F371650,41.784065414,-87.605585857
F500479,41.862865389,-87.691360355
F529820,41.906393604,-87.644769378
F660895,41.828167532,-87.626495867
F746059,41.805366666,-87.60647453
F803142,41.924488265,-87.699933231
G000705,41.880224549,-87.688248952
G005960,41.907251262,-87.725224066
G008548,41.865156224,-87.71373199
G008793,41.748514115,-87.664928601
G011117,41.736636821,-87.545821131
G011288,41.858473695,-87.666167161
G011894,41.680743671,-87.646876459
G013038,41.923901331,-87.771156586
G013102,41.751253211,-87.607096334
G019063,41.786931638,-87.651402671
G019133,41.971950157,-87.722340107
G021128,41.765095068,-87.579346236
G021349,41.765361316,-87.579354115
G022582,41.760108044,-87.56639671
G023235,41.710180828,-87.627189271
G023235,41.710180828,-87.627189271
G023298,41.879736623,-87.771382283
G023498,41.732771785,-87.604728989
G026985,41.954340724,-87.665223416
G028698,41.8883591,-87.755356747
G029375,41.72809296,-87.653113317
G030711,41.846133484,-87.721498105
G032399,41.798562129,-87.665923432
G032407,41.89177329,-87.745692304
G032650,41.747175846,-87.632390699
G038441,41.883144607,-87.743935241
G038670,41.960067343,-87.706989511
G040822,41.898914865,-87.745898649
G042611,41.894266111,-87.715055775
G042730,41.752588703,-87.579672194
G042741,41.846245694,-87.711730746
G042867,41.801108514,-87.686985578
G042885,41.905251369,-87.734750157
G046258,41.65515783,-87.602318369
G046555,41.688181442,-87.619499848
G052279,41.79040103,-87.663635567
G054526,41.789753808,-87.651116076
G057222,41.885803934,-87.731791804
G057558,41.755000895,-87.652646025
G060538,41.933721812,-87.718471308
G063251,41.998196735,-87.692341707
G064025,41.93791173,-87.727149134
G065240,42.019380398,-87.672249127
G068951,41.751672881,-87.647708108
G069278,41.882379941,-87.665881802
G072969,41.707831124,-87.623534407
G081524,41.904158779,-87.691982774
G082465,41.80685216,-87.611394731
G083440,41.808871048,-87.749307968
G083440,41.808871048,-87.749307968
G085180,41.893779995,-87.755557632
G085456,41.837775163,-87.726807011
G091366,41.877559057,-87.75561931
G092939,41.900073947,-87.71524586
G093340,41.845415905,-87.707499802
G095425,41.894562267,-87.72116099
G099205,41.909635855,-87.745216232
G103123,41.845043234,-87.733315171
G107568,41.854911949,-87.733380777
G108432,41.775696593,-87.674460663
G109242,41.926890996,-87.715832269
G109618,41.932943295,-87.707453414
G109745,41.80672208,-87.671347927
G110056,41.806872863,-87.658119909
G112364,41.870504551,-87.741260996
G118039,41.871208337,-87.735148652
G118582,41.795308102,-87.652480067
G119031,41.855138419,-87.662226498
G119505,41.944263583,-87.665155874
G122916,41.679622543,-87.62270967
G123109,41.925713529,-87.703669314
G124445,41.70771036,-87.623532074
G125188,41.953624047,-87.776795953
G126488,41.751449797,-87.641623339
G128509,41.826179814,-87.614417359
G132945,41.858842543,-87.726743799
G137271,41.928158152,-87.725995708
G137295,41.81832042,-87.685972432
G137655,41.968890414,-87.668042567
G137655,41.968890414,-87.668042567
G137999,41.901297786,-87.766836725
G139050,41.817464365,-87.687463132
G140106,41.90466282,-87.766957593
G142325,41.865665996,-87.671316598
G143991,41.861320047,-87.704195008
G152113,41.802631191,-87.625907363
G155779,41.852458292,-87.699106436
G159652,41.772625715,-87.576471929
G160443,41.853118363,-87.702858557
G161229,41.872190594,-87.728302895
G164500,41.908245878,-87.710093647
G166828,41.73938959,-87.585703691
G167023,41.836001205,-87.729190635
G167188,41.856408765,-87.732559225
G167194,41.944111317,-87.682117431
G168213,41.754592961,-87.741528537
G169110,41.881088946,-87.77182211
G169225,41.899671086,-87.70172864
G172079,41.930616012,-87.709942083
G172821,41.759586127,-87.602959664
G175399,41.879579099,-87.712039397
G179864,41.752151765,-87.665176717
G181260,41.85604611,-87.723628089
G183906,41.88063075,-87.733837962
G183906,41.88063075,-87.733837962
G184053,41.9056329,-87.665114338
G184097,41.858402243,-87.715192114
G184807,41.864396964,-87.721063356
G187460,41.863365169,-87.660260856
G188311,41.782061296,-87.789978129
G188820,41.758126171,-87.631582508
G189908,41.840004672,-87.724433615
G190057,41.813550578,-87.639389213
G191643,41.866992589,-87.731362412
G194141,41.923820753,-87.776018796
G194349,41.704885986,-87.623456938
G198167,41.878631263,-87.764808046
G200234,41.898640181,-87.708923492
G203846,41.729652142,-87.659236908
G205137,41.880626967,-87.734164817
G205243,41.809294376,-87.622364091
G207107,41.926994652,-87.747125728
G207388,41.910616981,-87.668519441
G207403,41.738596666,-87.549091128
G209405,41.791896809,-87.637796632
G209907,41.699800605,-87.629232617
G211567,41.709121141,-87.536488496
G211628,41.758273773,-87.554811094
G213437,41.856920477,-87.733328968
G213513,41.736702897,-87.647284792
G214782,42.010668525,-87.674315285
G215462,41.842878515,-87.618792215
G216033,41.893644967,-87.765347056
G217678,41.780221321,-87.616602802
G218379,41.918814461,-87.629012712
G219399,41.797145311,-87.705208138
G219399,41.797145311,-87.705208138
G221259,41.737074199,-87.64972468
G221462,41.925044308,-87.719447579
G221780,41.844023772,-87.626923253
G222906,41.89608421,-87.763606473
G223743,41.89540929,-87.72149816
G223784,41.89440789,-87.723608625
G223789,41.788692744,-87.622313093
G225749,41.919141979,-87.714429901
G225994,41.831881201,-87.665592096
G226436,41.840106225,-87.724436322
G226841,41.804656783,-87.625958436
G228272,41.904934309,-87.711745876
G228523,41.919316814,-87.737628012
G229353,41.904727464,-87.733744836
G230218,41.783674009,-87.596277178
G230431,41.876753422,-87.692231154
G232619,41.734785067,-87.55275366
G232871,41.873788515,-87.696964272
G234290,41.890314762,-87.752984928
G234790,41.862312456,-87.669879092
G235199,41.932969483,-87.713800099
G239201,41.857632275,-87.678752085
G240625,41.727683995,-87.653102978
G240776,41.863323449,-87.715331944
G243593,41.877446676,-87.695000212
G248175,41.873765737,-87.699296047
G248938,41.771689117,-87.649434254
G249811,41.760662032,-87.644299022
G250391,41.787358507,-87.625785618
G250439,41.756540419,-87.561473074
G253688,41.800466462,-87.672057803
G256486,41.732771785,-87.604728989
G259321,36.619446395,-91.686565684
G260168,41.811762307,-87.628286589
G260319,41.757709956,-87.626360608
G261105,41.850678584,-87.670186515
G261140,41.874059413,-87.74574077
G261213,41.816527835,-87.695682551
G261257,41.712653356,-87.621833214
G261414,41.820296388,-87.612711205
G262626,41.883225213,-87.737221581
G262626,41.883225213,-87.737221581
G263360,41.901418205,-87.755753257
G263950,41.966240118,-87.688834357
G264904,41.818209103,-87.616836043
G265947,41.895793941,-87.761522791
G266841,41.760552767,-87.650358873
G268444,41.792342253,-87.624025622
G268521,41.833517597,-87.670470102
G269036,41.87264034,-87.71638042
G270994,41.775759028,-87.631705609
G272819,41.810314796,-87.61523303
G274681,41.72440944,-87.627524364
G274697,41.790929182,-87.707160999
G276602,41.761810443,-87.628676075
G277438,41.880334264,-87.757959152
G284583,41.684383426,-87.628862572
G285552,41.745206763,-87.572213565
G285637,41.874497319,-87.696116405
G285665,41.888265781,-87.755353915
G286951,41.778047465,-87.586387726
G291271,41.909795206,-87.733054499
G292621,41.907068313,-87.72643443
G305406,41.818805434,-87.723966795
G310530,41.77428392,-87.711502225
G311269,41.786258062,-87.649811116
G315699,41.813095647,-87.691901601
G317538,41.893629328,-87.766625355
G317825,41.898993471,-87.727748755
G317944,41.89791011,-87.665969881
G318079,41.916174618,-87.698193061
G318182,41.779960201,-87.632099778
G318274,41.816869798,-87.687142611
G319264,41.748920985,-87.607599019
G320322,41.827155316,-87.62167485
G321067,41.903133675,-87.731239785
G322035,41.751363575,-87.635533465
G322669,41.796620481,-87.706089753
G323016,41.881041064,-87.699852066
G324594,41.969086773,-87.655170335
G326190,41.874219587,-87.736357957
G326467,41.817358545,-87.623048957
G327597,41.896809705,-87.749062075
G328769,41.966621877,-87.780459184
G330755,41.759572773,-87.655408927
G330832,41.786131506,-87.653457181
G334208,41.798114448,-87.709815943
G334779,41.774950397,-87.707892022
G339015,41.746504322,-87.632976989
G339029,41.899476558,-87.72620879
G339802,41.655615289,-87.613927828
G339992,41.858724996,-87.7352026
G344112,41.907314968,-87.719147237
G344397,41.882690296,-87.768201943
G344605,41.986107062,-87.658094107
G346418,41.771073064,-87.568278663
G349020,41.894238925,-87.668439561
G351558,41.909568263,-87.707005828
G352627,41.897290665,-87.715640007
G352803,41.703934124,-87.534080671
G352974,41.735640823,-87.674478187
G353144,41.866635577,-87.684449923
G353149,41.920612008,-87.700673381
G355946,41.773431255,-87.647051179
G356644,41.880650875,-87.73191358
G356804,41.852051628,-87.627069839
G358387,41.767664563,-87.656610393
G360524,41.778282502,-87.593020945
G361737,41.72480702,-87.609383365
G361818,41.912599788,-87.732524889
G362854,41.898175582,-87.726169689
G362854,41.898175582,-87.726169689
G363031,41.805347471,-87.61257432
G364890,41.742202785,-87.5539463
G364948,41.752720443,-87.579674318
G364948,41.752720443,-87.579674318
G365057,41.697040025,-87.631510985
G365163,41.689521935,-87.632636156
G365482,41.70717372,-87.622845815
G366917,41.900634447,-87.666323534
G367752,41.931814232,-87.725104737
G369513,41.977278576,-87.659893818
G370946,41.857578556,-87.65483736
G371278,41.891117948,-87.762666316
G371378,41.669720424,-87.628414883
G373323,41.897137351,-87.760717423
G373354,41.734587561,-87.573232915
G373628,41.840031284,-87.726870112
G375375,41.938737066,-87.811357147
G375841,41.877447207,-87.695095677
G377597,41.686324472,-87.653139767
G378147,41.727214643,-87.665251999
G380193,41.88633462,-87.71239628
G380402,41.845089351,-87.684748426
G380429,41.859063813,-87.707124468
G380439,41.856713627,-87.661288671
G380472,41.697629301,-87.617154427
G380688,41.751208679,-87.609607175
G382110,41.752451636,-87.551359586
G383627,41.71724351,-87.641884038
G384625,41.755038698,-87.59478342
G386706,41.789446069,-87.660825652
G386706,41.789446069,-87.660825652
G389122,41.78700188,-87.646609458
G390543,41.975090483,-87.72821991
G390651,41.811315901,-87.669903061
G391120,41.932031238,-87.706771417
G391211,41.971070708,-87.707326679
G392579,41.899681787,-87.706687376
G393942,41.863683918,-87.726319911
G395545,41.765432686,-87.579356945
G397434,41.749135591,-87.685268108
G397581,41.782078079,-87.7020077
G397986,41.792937856,-87.674265785
G398042,41.773775349,-87.642648291
G399481,41.760704042,-87.673426505
G400491,41.789939897,-87.641393051
G401141,41.790325892,-87.630388022
G401538,41.762222128,-87.58233048
G401835,41.907771871,-87.673390867
G401835,41.908790904,-87.674985793
G401839,41.751214187,-87.609174675
G402063,41.90829054,-87.642140663
G404236,41.96714669,-87.663126062
G406227,41.69044105,-87.650376071
G406405,41.779881794,-87.636804577
G408978,41.754542414,-87.585516869
G410898,41.791711926,-87.631762686
G411262,41.837901263,-87.723154487
G413138,41.871646755,-87.724059969
G415400,41.765575403,-87.57935894
G418018,41.812223022,-87.666845417
G419085,41.908300639,-87.639719583
G419125,41.805868523,-87.666115359
G419553,41.749673585,-87.550433167
G420109,41.751827103,-87.559231739
G420949,41.754810183,-87.665981086
G421279,41.867807032,-87.738091776
G421984,41.884426523,-87.747221224
G422531,41.872469148,-87.693617794
G422700,41.909085286,-87.692091435
G422804,41.783171157,-87.597888885
G422925,41.920385987,-87.721763013
G423609,41.972419422,-87.654906985
G425608,41.792230531,-87.663004123
G427393,41.861365863,-87.661412497
G427516,41.803900587,-87.66606609
G429160,41.702239525,-87.563221412
G429422,41.922669239,-87.768374753
G429901,41.937466523,-87.801201378
G430250,41.73763124,-87.6736591
G431507,41.88023516,-87.765616381
G432388,41.880341888,-87.737920376
G432403,41.883124266,-87.773320938
G433129,41.861963739,-87.71407118
G433655,41.922872847,-87.769600256
G433755,41.762348813,-87.594248757
G433824,41.841471897,-87.629204627
G433824,41.841471897,-87.629204627
G434632,41.778326776,-87.694587279
G435719,41.851672339,-87.695440063
G436585,41.729330995,-87.606119697
G437060,41.956875902,-87.797554615
G441060,41.902223682,-87.645445999
G441274,41.957558481,-87.706367009
G441772,41.89827066,-87.715186113
G443139,41.866326096,-87.663996554
G443474,41.845770099,-87.713607116
G444606,41.806752043,-87.667984156
G446123,41.903347094,-87.632903905
G446720,41.756271102,-87.633394911
G447444,41.762296292,-87.656073014
G447582,41.903456551,-87.716583427
G450312,41.955869698,-87.754769218
G450601,41.82292402,-87.619964344
G451387,41.793110232,-87.654850284
G455485,41.691964476,-87.621043395
G456492,41.802126073,-87.70870977
G457054,41.87380588,-87.69465458
G459053,41.908507004,-87.667630252
G459242,41.887938638,-87.620486468
G459397,41.885741686,-87.73563741
G461523,41.837006543,-87.734083807
G462025,41.798448213,-87.61693885
G464441,41.86173298,-87.720163668
G468177,41.866277647,-87.717120788
G468610,41.894154398,-87.686797574
G470422,41.901427038,-87.725044239
G473112,41.905072512,-87.746889161
G476774,41.891770726,-87.717959287
G477463,41.897236716,-87.748308875
G477822,41.85626764,-87.656374568
G477838,41.90528152,-87.732641264
G483292,41.759406442,-87.606648888
G484903,41.65053199,-87.581225224
G486879,41.746709897,-87.663778347
G486888,41.750794483,-87.633560686
G489136,41.817965981,-87.610444499
G491428,41.687974882,-87.667378872
G491428,41.687974882,-87.667378872
G491428,41.687974882,-87.667378872
G491442,41.852051628,-87.627069839
G491790,41.999693927,-87.680936618
G493069,41.683977989,-87.615233757
G493127,41.761915482,-87.590885285
G493510,41.871247869,-87.744925726
G494503,41.785014658,-87.612068766
G495183,41.778928682,-87.650838528
G497018,41.785576875,-87.696011332
G500106,41.907575569,-87.694483406
G500180,41.756989602,-87.644206364
G501252,41.745852611,-87.664538462
G501252,41.88166577,-87.754245643
G501811,41.882142138,-87.772260899
G503487,41.854938872,-87.706562721
G506663,41.85798737,-87.654359502
G506821,41.892719968,-87.705238556
G508605,41.793244724,-87.660921628
G508892,41.748831006,-87.550421418
G509702,41.694850249,-87.627957476
G510905,41.827752222,-87.6947493
G510940,41.725381512,-87.594866742
G511681,41.890703831,-87.70640419
G511752,41.879172555,-87.710952739
G513171,41.725168316,-87.605756356
G514099,41.865284723,-87.625782459
G515853,41.893598492,-87.719003201
G516533,41.788228521,-87.659576984
G516877,41.889896295,-87.722564425
G517750,41.751480925,-87.656992959
G517940,41.906649995,-87.752197796
G518162,41.753145614,-87.602153123
G519612,41.939196007,-87.71888551
G520363,41.82835964,-87.626497423
G522464,41.671518427,-87.6356864
G522551,41.899666325,-87.640015058
G522714,41.906132875,-87.667566751
G522725,41.814635574,-87.629183169
G522878,41.72523882,-87.572987781
G526151,36.619446395,-91.686565684
G528607,41.780349946,-87.68733707
G530864,42.007893927,-87.666672308
G532956,41.751674522,-87.667112995
G533004,41.887243008,-87.681696384
G533190,41.746655581,-87.602622531
G535286,41.660431882,-87.643059363
G536676,41.797012513,-87.664663275
G537366,41.803995444,-87.667279128
G537490,41.981306758,-87.697373323
G537887,41.813070151,-87.625418344
G538554,41.932949598,-87.679048328
G538725,41.768491974,-87.585985384
G539798,41.761460231,-87.589658989
G539833,41.843922218,-87.6269207
G540113,41.844322291,-87.718931647
G540136,41.87167847,-87.721250884
G540323,41.731990385,-87.610929365
G540323,41.731990385,-87.610929365
G540865,41.903162458,-87.696885733
G541828,41.735029365,-87.552761693
G541859,41.806963534,-87.607729243
G543889,41.780429045,-87.697085234
G544216,41.763684359,-87.566471415
G546113,41.894788866,-87.769711392
G547890,41.807824573,-87.66130104
