Latitude,Longitude
41.648611226,-87.580010855
41.648678084,-87.614886812
41.651431329,-87.527258234
41.651431329,-87.527258234
41.65182863,-87.615331145
41.65182863,-87.615331145
41.651832333,-87.614167513
41.651849462,-87.611646208
41.651880365,-87.599622085
41.652077908,-87.595327716
41.652268611,-87.617232658
41.652268611,-87.617232658
41.652781271,-87.537457711
41.652958587,-87.604750959
41.653886078,-87.602142471
41.654069013,-87.605887439
41.654285848,-87.605892318
41.654363697,-87.603886182
41.654458146,-87.596749603
41.654521261,-87.596748883
41.654530413,-87.548377295
41.65464198,-87.596743849
41.65496118,-87.608534028
41.655005926,-87.613908994
41.655226457,-87.602321253
41.655517864,-87.551523275
41.655807747,-87.60396869
41.655956217,-87.598840303
41.656229667,-87.596970934
41.65633767,-87.614465032
41.656469322,-87.614891712
41.656895901,-87.551982327
41.65727798,-87.604285107
41.657321469,-87.606385112
41.657322501,-87.606114305
41.65732367,-87.605865452
41.657335737,-87.547662583
41.657357458,-87.593957378
41.657400152,-87.600624324
41.657654674,-87.595794666
41.657863861,-87.597603697
41.657912296,-87.60132113
41.658160906,-87.547132912
41.658679358,-87.610647771
41.658691551,-87.603024941
41.65884168,-87.559288749
41.65884168,-87.559288749
41.659135983,-87.609072738
41.659135983,-87.609072738
41.659135983,-87.609072738
41.659147837,-87.604436014
41.659162029,-87.601918115
41.659605905,-87.596650689
41.660066269,-87.632977522
41.660205626,-87.555631154
41.662070195,-87.646255059
41.662089658,-87.638990399
41.664247982,-87.63557458
41.664250349,-87.635512338
41.664550814,-87.633024081
41.665514159,-87.618769441
41.666054918,-87.636217512
41.667329792,-87.59557079
41.668028717,-87.63315841
41.668271945,-87.627160657
41.668287557,-87.639183666
41.668569194,-87.620188694
41.669182176,-87.575320432
41.669743339,-87.638033394
41.669904327,-87.628420197
41.669966483,-87.640446672
41.670016883,-87.62842629
41.670036202,-87.635640182
41.670083502,-87.641649599
41.670569576,-87.638518623
41.670593543,-87.636131945
41.671313211,-87.645347874
41.671345244,-87.64290984
41.671516943,-87.651443612
41.671587946,-87.630879792
41.671623667,-87.634488374
41.671646979,-87.650234368
41.671648388,-87.655106101
41.671652537,-87.621750515
41.671664448,-87.649018991
41.671700256,-87.641705495
41.671721258,-87.646580683
41.671872535,-87.635700877
41.671924547,-87.639305643
41.672002853,-87.622482364
41.672225539,-87.650612577
41.672442194,-87.633703545
41.672536597,-87.624032104
41.673180525,-87.617674413
41.673185855,-87.622513271
41.6732055,-87.620368119
41.673217468,-87.6393613
41.673291386,-87.642976891
41.673394993,-87.636950906
41.673548119,-87.616769902
41.673548279,-87.616795523
41.673679306,-87.641768497
41.674340927,-87.616720845
41.67443909,-87.625475365
41.67501684,-87.61773094
41.675027816,-87.617730818
41.675233015,-87.627392045
41.675293409,-87.627395046
41.675299766,-87.621750607
41.675479189,-87.639424855
41.675498398,-87.639424648
41.675529608,-87.634610841
41.675696574,-87.623788764
41.675719502,-87.617748779
41.676018746,-87.639700915
41.676081841,-87.633810547
41.676081841,-87.633810547
41.676213387,-87.62171126
41.67624381,-87.619536603
41.67624381,-87.619536603
41.6768993,-87.634654594
41.677063946,-87.63827307
41.67707862,-87.633455664
41.677141624,-87.640684521
41.677186416,-87.628640902
41.6772281,-87.61498301
41.677244043,-87.628640273
41.677244043,-87.628640273
41.677291738,-87.631052045
41.67730359,-87.626271257
41.677392272,-87.628645977
41.677501688,-87.663463911
41.677502212,-87.625101369
41.677800201,-87.64295433
41.677927829,-87.631403865
41.677954279,-87.628998582
41.677968643,-87.627761152
41.678018588,-87.62339354
41.678409312,-87.622671769
41.67895423,-87.625144019
41.678960565,-87.631096132
41.679007084,-87.623924449
41.679034586,-87.645606079
41.679123405,-87.629900993
41.679716575,-87.638083456
41.679796296,-87.626855304
41.679828274,-87.624471853
41.67993472,-87.615534958
41.680213902,-87.613661239
41.680215474,-87.672884042
41.680366299,-87.672864196
41.680377564,-87.638471698
41.680386323,-87.654168733
41.680445955,-87.64025373
41.680462979,-87.637167565
41.680522215,-87.559329161
41.680629362,-87.645658652
41.680686022,-87.646873411
41.680735801,-87.619457678
41.680782299,-87.635970724
41.68078465,-87.639078661
41.680811475,-87.644448671
41.68083259,-87.634762139
41.680925914,-87.63476479
41.681126941,-87.638500244
41.681398054,-87.614314304
41.681445352,-87.638511462
41.681524243,-87.635226898
41.681538451,-87.633952795
41.6815497,-87.633096051
41.681569005,-87.619726687
41.681578929,-87.630690604
41.681732837,-87.642041028
41.68182957,-87.617937343
41.681870253,-87.638887613
41.681893839,-87.672680179
41.681991817,-87.620640876
41.682060252,-87.657874171
41.682243383,-87.642057528
41.682252122,-87.651791547
41.682292438,-87.670413714
41.682322751,-87.649360016
41.682334926,-87.620651734
41.682345445,-87.651794223
41.68241324,-87.659100517
41.682505174,-87.625998326
41.682506971,-87.634817245
41.682511198,-87.625639499
41.682525534,-87.668957971
41.682630557,-87.655455714
41.682656831,-87.668883403
41.682742024,-87.632405868
41.682828519,-87.644899406
41.682914946,-87.628820016
41.683044898,-87.642085558
41.6830758,-87.656033118
41.683103524,-87.637248929
41.683235288,-87.63725483
41.683235288,-87.63725483
41.683284212,-87.622826799
41.683363983,-87.634042853
41.683391179,-87.631750847
41.683408048,-87.630469356
41.683476765,-87.626459939
41.683889499,-87.625298575
41.683892982,-87.624083115
41.683941698,-87.619982361
41.683948674,-87.619337963
41.683977738,-87.61519349
41.684036655,-87.639072991
41.684036765,-87.639091294
41.684289812,-87.650638815
41.684312196,-87.636082708
41.684374113,-87.673529772
41.684623652,-87.562805495
41.684636822,-87.627669999
41.684847301,-87.659540049
41.685034684,-87.645769166
41.685038727,-87.645527499
41.685105781,-87.640243993
41.685120177,-87.638991784
41.685157985,-87.635718461
41.685200497,-87.632781893
41.685242092,-87.629259575
41.685242809,-87.629376718
41.685392295,-87.616268735
41.685402634,-87.615287474
41.685474655,-87.607964681
41.685474655,-87.607964681
41.685474655,-87.607964681
41.685743327,-87.686040124
41.685865771,-87.67522423
41.68590089,-87.62082472
41.685916846,-87.625627805
41.68592815,-87.531649331
41.686091626,-87.627720001
41.686197807,-87.632514802
41.686238944,-87.628919212
41.686255437,-87.656786895
41.686456426,-87.614404427
41.686470228,-87.64949182
41.686521024,-87.61683831
41.686604656,-87.614410099
41.686612238,-87.628929785
41.687047734,-87.630583507
41.687070509,-87.660058693
41.687215851,-87.65073602
41.687241534,-87.649516602
41.687241534,-87.649516602
41.687439611,-87.576475405
41.687739074,-87.663635968
41.687848473,-87.665930365
41.687866743,-87.632577234
41.687884984,-87.619488481
41.688003027,-87.619494498
41.688025852,-87.615668353
41.6880618,-87.622334896
41.688062185,-87.622397131
41.688100085,-87.636199237
41.68814117,-87.643462515
41.688142576,-87.651978337
41.688241624,-87.618144556
41.688316799,-87.615676103
41.688359857,-87.619505198
41.688374613,-87.620998789
41.688454665,-87.614462725
41.688788281,-87.697117655
41.688809748,-87.668428345
41.688888563,-87.628242277
41.689005269,-87.619142927
41.689005269,-87.619142927
41.689005269,-87.619142927
41.689045293,-87.655662965
41.689045293,-87.655662965
41.689293714,-87.540101542
41.689406123,-87.651247404
41.689408345,-87.651159512
41.689727166,-87.669993233
41.689798696,-87.628528899
41.690000986,-87.605940419
41.690204352,-87.612081729
41.690374447,-87.625758352
41.690382783,-87.655367009
41.690383529,-87.659225989
41.69052843,-87.64295372
41.690546844,-87.641452395
41.690697149,-87.629148835
41.690698838,-87.628976735
41.69073279,-87.626461055
41.690760217,-87.624231024
41.690994663,-87.699589272
41.691341719,-87.650926728
41.691431377,-87.641139026
41.69145123,-87.621034412
41.691515662,-87.677502582
41.691515662,-87.677502582
41.691515662,-87.677502582
41.691518331,-87.638721608
41.691600734,-87.635110634
41.691874338,-87.611872683
41.692046197,-87.61961822
41.692125755,-87.612140815
41.692197539,-87.655494409
41.692233255,-87.652715044
41.692363894,-87.64150249
41.692480614,-87.631783894
41.692482599,-87.631659385
41.692532002,-87.612154585
41.692538396,-87.626880654
41.692799952,-87.607637071
41.693075456,-87.612166821
41.693141811,-87.652745741
41.693457916,-87.657015325
41.693510137,-87.63998901
41.693524794,-87.638780573
41.693540849,-87.611110785
41.693582523,-87.635173415
41.693615277,-87.68284896
41.693615452,-87.635173059
41.693706351,-87.618267095
41.693782648,-87.619503826
41.69399105,-87.657606561
41.694081896,-87.650689059
41.694167876,-87.612194894
41.694274262,-87.63429816
41.694370312,-87.626223507
41.694634809,-87.654615685
41.694691709,-87.652172851
41.694968292,-87.62796351
41.695313622,-87.620772103
41.695439011,-87.634036561
41.695545389,-87.623189842
41.695606449,-87.634042071
41.695691747,-87.622005542
41.695782417,-87.611023461
41.695806179,-87.657331251
41.696132712,-87.631235244
41.696192402,-87.626199887
41.69641053,-87.6105331
41.696445942,-87.542565805
41.696622948,-87.525793413
41.696830001,-87.541349099
41.696835779,-87.543784015
41.696837354,-87.64840801
41.69712792,-87.624369795
41.697129489,-87.624179371
41.697139573,-87.619602187
41.697169828,-87.646178191
41.697572939,-87.614720034
41.697603447,-87.619615366
41.697823571,-87.62325266
41.697958905,-87.630984694
41.698646716,-87.541345118
41.69895239,-87.634141308
41.69895239,-87.634141308
41.699038675,-87.614762304
41.699132882,-87.618426688
41.699243666,-87.657134133
41.699247596,-87.619663099
41.699271976,-87.624489055
41.699335994,-87.618431762
41.699411804,-87.620917276
41.69941558,-87.623301059
41.69948891,-87.628078891
41.699577165,-87.608304224
41.699584978,-87.628081503
41.699838941,-87.626090364
41.699851294,-87.624977038
41.699997107,-87.614429394
41.700011165,-87.560772612
41.700250843,-87.669372433
41.700267163,-87.525758806
41.700309589,-87.628099219
41.700381668,-87.560775501
41.700505086,-87.561989756
41.700680552,-87.631764349
